PCB,Type,Reference,Value,Quantity,Footprint,Part Number,DNP,Datasheet
revo-main,Capacitor,C2,470uF,1,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,35ZLH470MEFCT810X16,,
revo-main,Capacitor,"C3, C4, C6",470uF,3,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,25ZLH470MEFC10X12.5,,
revo-main,Capacitor,"C7, C8, C9",0.1uF,3,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,
revo-main,Capacitor,C11,1000uF,1,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,16ZLH1000MEFC10X16,,
revo-main,Capacitor,"C12, C13",10uF,2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,
revo-main,Diode,D1,SS34,1,Diode_SMD:D_SMA,,,https://www.vishay.com/docs/88751/ss32.pdf
revo-main,Diode,D2,SS54,1,SS54:DO-214AC,SS54,,
revo-main,LED,"D5, D6",LED,2,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,
revo-main,Fuse,F1,25A,1,ray:Fuse_1808,,,
revo-main,Fuse,F2,10A,1,ray:Fuse_1808,,,
revo-main,Connector,"J4, J5, J6, J7, J20",JST_2mm_LiPo,5,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,,,
revo-main,Connector,"J8, J9, J10",DS5180,3,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
revo-main,Connector,J12,SERVO CONN,1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
revo-main,Connector,J13,KF301-2P,1,KF7.62:KF7.62_2P,,,
revo-main,Connector,"J14, J16, J19",KF301-2P,3,KF301-2P:HANDSON_KF301-2P,,,
revo-main,Connector,J15,BUZZER,1,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,
revo-main,Connector,J17,E-STOP,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main,Connector,J21,XT60-M,1,XT60-M:AMASS_XT60-M,,,
revo-main,Connector,J24,FAN PWR,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main,Connector,J26,Conn,1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
revo-main,Connector,J28,3V3,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main,Connector,J29,I2C,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main,Connector,"J34, J35",Conn,2,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,
revo-main,Buzzer,LS1,CEM-1206S,1,CEM_1206S:CUI_CEM-1206S,,,
revo-main,MOSFET,Q2,2N7002,1,Package_TO_SOT_SMD:SOT-23,,,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF
revo-main,MOSFET,Q3,AOD4185,1,Package_TO_SOT_SMD:TO-252-2,,,AOD4185
revo-main,MOSFET,Q4,BSS138,1,Package_TO_SOT_SMD:SOT-23,,,https://www.onsemi.com/pub/Collateral/BSS138-D.PDF
revo-main,Resistor,"R1, R2, R3",0.02R 2W,3,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,CRA2512-FZ-R020ELF,,
revo-main,Resistor,"R5, R6, R7, R23",10k,4,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main,Resistor,R20,330R,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main,Resistor,R21,2.2K,1,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,13-MFR50SFTE52-2K2CT-ND,,
revo-main,Resistor,R22,100R,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main,Switch,SW1,Home,1,Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,,
revo-main,Voltage Regulator,U1,HT7350,1,HT7333:IC_HT7333,,,
revo-main,Current Monitor IC,"U6, U9, U10",INA219AxD,3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,http://www.ti.com/lit/ds/symlink/ina219.pdf
revo-main,Connector,X1,Power,1,B2PS-VH:B2PS-VH,,,
revo-main-bottom,MCU Module,A1,RaspberryPi_Pico,1,Module:RaspberryPi_Pico_Common_Unspecified,,,https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf
revo-main-bottom,Capacitor,C5,0.1uF,1,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,
revo-main-bottom,Capacitor,C10,100uF,1,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,732-8707-1-ND,,
revo-main-bottom,Connector,"J1, J3",Main Connector,2,PCM_SparkFun-Connector:JST_1x04_P2.0mm_Vertical_PTH,,,https://www.sparkfun.com/datasheets/Prototyping/ePH.pdf
revo-main-bottom,Connector,J2,Data In,1,PCM_SparkFun-Connector:JST_1x04_P1.25mm_Locking_Horizontal_SMD,,,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf
revo-main-bottom,Connector,J11,RPi 5 SPI,1,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,,,
revo-main-bottom,Connector,J18,BUZZER,1,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,
revo-main-bottom,Connector,J22,SERVO CONN,1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
revo-main-bottom,Connector,J23,FAN PWR,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main-bottom,Connector,J25,Conn,1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
revo-main-bottom,Connector,J27,3V3,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main-bottom,Connector,J30,I2C,1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,
revo-main-bottom,Connector,"J32, J36",Conn,2,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,
revo-main-bottom,Resistor,R4,120R,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main-bottom,Resistor,"R8, R9",4.7k,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main-bottom,Resistor,R10,10k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main-bottom,Resistor,R11,1.5k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-main-bottom,Buck Converter Module,"U2, U3",Mini360,2,Mini360_step-down:Mini360_step-down,,,
revo-main-bottom,RS-485 Transceiver,U7,THVD1420D,1,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,https://www.ti.com/lit/ds/symlink/thvd1420.pdf
revo-servo,Capacitor,"C1, C3, C5, C7",0.1uF,4,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,
revo-servo,Capacitor,C4,100uF,1,Capacitor_SMD:CP_Elec_6.3x5.4,,,
revo-servo,Capacitor,"C8, C9",10uF,2,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,
revo-servo,Diode,D1,SS34,1,Diode_SMD:D_SMA,,,https://www.vishay.com/docs/88751/ss32.pdf
revo-servo,LED,"D3, D4, D5",LED,3,Diode_SMD:D_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,
revo-servo,Connector,J1,Programming,1,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,,,
revo-servo,Connector,J2,Data In,1,PCM_SparkFun-Connector:JST_1x04_P1.25mm_Locking_Horizontal_SMD,,,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf
revo-servo,Connector,J3,Data Out,1,PCM_SparkFun-Connector:JST_1x04_P1.25mm_Locking_Horizontal_SMD,,,https://www.jst-mfg.com/product/pdf/eng/eGH.pdf
revo-servo,Connector,J4,Motor,1,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,,,
revo-servo,Connector,J6,Sensor Board Connector,1,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal,,,
revo-servo,Jumper,"JP1, JP2, JP3",Jumper_2_Open,3,Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,,,
revo-servo,Resistor,R1,0.1R 2W,1,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,,,
revo-servo,Resistor,R4,120R,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,DNP,
revo-servo,Resistor,"R11, R12, R15",4.7k,3,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-servo,Resistor,R13,330R,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-servo,Resistor,"R14, R20",220R,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-servo,Resistor,"R16, R19",10k,2,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-servo,Thermistor,R17,NTC 10k,1,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,,,
revo-servo,Resistor,R18,20k,1,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,
revo-servo,Switch,SW1,Home,1,Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,,
revo-servo,Switch,SW2,Step,1,Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,,
